,Area_Name,Year,Sub_Group_Name,Cases_Acquitted_or_Discharged,Cases_charge_sheets_were_not_laid_but_Final_Report_submitted,Cases_Chargesheeted,Cases_Compounded_or_Withdrawn,Cases_Convicted,Cases_Declared_False_on_Account_of_Mistake_of_Fact_or_of_Law,Cases_Investigated_Chargesheets+FR_Submitted,Cases_not_Investigated_or_in_which_investigation_was_refused,Cases_Pending_Investigation_at_Year_End,Cases_Pending_Investigation_from_previous_year,Cases_Pending_Trial_at_Year_End,Cases_Pending_Trial_from_the_previous_year,Cases_Reported,Cases_Sent_for_Trial,Cases_Trials_Completed,Cases_Withdrawn_by_the_Govt,Cases_withdrawn_by_the_Govt_during_investigation,Total_Cases_for_Trial,Persons_Acquitted,Persons_against_whom_cases_Compounded_or_Withdrawn,Persons_Arrested,Persons_Chargesheeted,Persons_Convicted,Persons_in_Custody_or_on_Bail_during_Investigation_at_Year_beginning,Persons_in_Custody_or_on_Bail_during_Investigation_at_Year_end,Persons_in_Custody_or_on_Bail_during_Trial_at_Year_End,Persons_Released_or_Freed_by_Police_or_Magistrate_before_Trial_for_want_of_evidence_or_any_other_reason,Persons_Trial_Completed,Persons_under_Trial_at_Year_beginning,Total_Persons_under_Trial
584,Nagaland,2007,02. Kidnapping & Abduction of Women & Girls,0,0,3,0,2,0,3,0,5,2,6,5,6,3,2,0,0,8,0,0,12,11,7,0,1,5,0,7,1,12
585,Odisha,2007,02. Kidnapping & Abduction of Women & Girls,173,35,402,1,28,59,437,0,504,340,1763,1563,660,402,201,0,0,1965,317,0,681,684,61,92,80,2702,9,378,2396,3080
586,Puducherry,2007,02. Kidnapping & Abduction of Women & Girls,4,1,9,0,1,3,10,4,6,9,21,17,14,9,5,0,0,26,8,0,14,18,3,15,9,33,2,11,26,44
587,Punjab,2007,02. Kidnapping & Abduction of Women & Girls,77,121,210,3,26,151,331,0,336,273,799,695,545,210,103,0,0,905,165,4,592,381,63,438,590,1049,59,228,900,1281
588,Rajasthan,2007,02. Kidnapping & Abduction of Women & Girls,328,160,556,19,132,962,716,0,112,96,3541,3464,1694,556,460,0,0,4020,674,22,942,944,270,12,10,7774,0,944,7796,8740
589,Sikkim,2007,02. Kidnapping & Abduction of Women & Girls,0,0,2,0,0,0,2,0,10,3,11,9,9,2,0,0,0,11,0,0,3,3,0,0,0,8,0,0,5,8
590,Tamil Nadu,2007,02. Kidnapping & Abduction of Women & Girls,326,157,453,1,53,253,610,30,558,359,860,787,1097,453,379,0,5,1240,759,0,1107,835,118,568,700,1748,140,877,1790,2625
591,Tripura,2007,02. Kidnapping & Abduction of Women & Girls,4,11,66,0,5,0,77,0,28,24,92,35,81,66,9,0,0,101,43,0,81,80,12,21,18,189,4,55,164,244
592,Uttar Pradesh,2007,02. Kidnapping & Abduction of Women & Girls,860,879,1948,61,804,415,2827,0,526,405,6876,6653,3363,1948,1664,0,0,8601,1991,110,5683,4166,1843,670,919,14741,1268,3834,14519,18685
593,Uttarakhand,2007,02. Kidnapping & Abduction of Women & Girls,31,55,120,0,37,39,175,0,43,30,411,359,227,120,68,0,0,479,90,0,363,269,76,61,89,963,66,166,860,1129
594,West Bengal,2007,02. Kidnapping & Abduction of Women & Girls,422,310,931,15,31,29,1241,0,1554,1234,6336,5873,1590,931,453,0,0,6804,943,86,1742,1549,56,1558,1501,8557,250,999,8093,9642
595,Andaman & Nicobar Islands,2008,02. Kidnapping & Abduction of Women & Girls,1,4,7,0,0,0,11,0,8,6,30,24,13,7,1,0,0,31,1,0,10,10,0,3,3,41,0,1,32,42
596,Andhra Pradesh,2008,02. Kidnapping & Abduction of Women & Girls,573,122,925,71,37,470,1047,0,546,667,2393,2149,1396,925,610,0,0,3074,911,36,1606,1635,96,802,708,3057,65,1007,2465,4100
597,Arunachal Pradesh,2008,02. Kidnapping & Abduction of Women & Girls,4,12,26,1,4,0,38,0,31,22,379,362,47,26,8,0,0,388,5,2,57,35,7,12,23,469,11,12,448,483
598,Assam,2008,02. Kidnapping & Abduction of Women & Girls,378,531,780,35,89,194,1311,0,2849,2565,2756,2478,1789,780,467,0,0,3258,854,106,1965,1269,248,2639,2536,3197,799,1102,3136,4405
599,Bihar,2008,02. Kidnapping & Abduction of Women & Girls,475,371,837,5,138,317,1208,0,1450,1186,3562,3343,1789,837,613,0,0,4180,1101,14,2382,1978,264,1189,1518,10221,75,1365,9622,11600
600,Chandigarh,2008,02. Kidnapping & Abduction of Women & Girls,22,19,13,0,8,4,32,0,31,25,53,70,42,13,30,0,0,83,37,0,42,22,21,14,22,76,12,58,112,134
601,Chhattisgarh,2008,02. Kidnapping & Abduction of Women & Girls,91,20,178,145,23,6,198,0,64,52,637,718,216,178,114,0,0,896,129,2,229,210,33,11,30,1210,0,162,1164,1374
602,Dadra & Nagar Haveli,2008,02. Kidnapping & Abduction of Women & Girls,1,0,6,0,0,0,6,0,10,5,21,16,11,6,1,0,0,22,1,0,16,8,0,0,8,36,0,1,29,37
603,Daman & Diu,2008,02. Kidnapping & Abduction of Women & Girls,0,0,0,0,0,0,0,0,2,1,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,4,4
604,Delhi,2008,02. Kidnapping & Abduction of Women & Girls,127,540,405,0,27,278,945,33,1941,2082,1388,1137,1136,405,154,0,21,1542,161,0,412,458,41,185,91,1333,48,202,1077,1535
605,Goa,2008,02. Kidnapping & Abduction of Women & Girls,5,3,8,0,1,0,11,0,26,9,33,31,28,8,6,0,0,39,5,0,28,10,1,11,28,43,1,6,39,49
606,Gujarat,2008,02. Kidnapping & Abduction of Women & Girls,322,202,764,9,44,96,966,5,295,244,6145,5756,1119,764,366,0,1,6520,512,8,1320,1324,67,204,194,11261,6,579,10524,11848
607,Haryana,2008,02. Kidnapping & Abduction of Women & Girls,171,40,327,1,71,253,367,0,183,159,833,749,644,327,242,0,0,1076,250,2,594,563,90,62,92,1317,1,340,1096,1659
608,Himachal Pradesh,2008,02. Kidnapping & Abduction of Women & Girls,31,6,67,1,10,74,73,0,55,65,192,167,137,67,41,0,0,234,65,1,144,133,17,46,45,408,12,82,358,491
609,Jammu & Kashmir,2008,02. Kidnapping & Abduction of Women & Girls,242,14,267,13,1,223,281,0,497,345,3590,3579,656,267,243,0,0,3846,387,6,523,524,1,3,2,6296,0,388,6166,6690
610,Jharkhand,2008,02. Kidnapping & Abduction of Women & Girls,237,97,318,17,57,39,415,3,332,290,822,815,499,318,294,0,0,1133,223,21,604,533,92,218,269,720,20,315,523,1056
611,Karnataka,2008,02. Kidnapping & Abduction of Women & Girls,197,67,201,4,6,83,268,10,187,143,756,762,405,201,203,0,0,963,264,10,487,394,11,92,174,1198,11,275,1089,1483
612,Kerala,2008,02. Kidnapping & Abduction of Women & Girls,105,21,155,0,1,23,176,0,88,121,660,611,166,155,106,0,0,766,139,0,179,194,5,114,99,892,0,144,842,1036
613,Lakshadweep,2008,02. Kidnapping & Abduction of Women & Girls,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
614,Madhya Pradesh,2008,02. Kidnapping & Abduction of Women & Girls,454,59,619,6,204,15,678,0,190,147,1992,2037,736,619,658,0,0,2656,639,20,1013,1006,215,29,36,4545,0,854,4413,5419
615,Maharashtra,2008,02. Kidnapping & Abduction of Women & Girls,404,140,723,27,47,88,863,0,565,518,5902,5657,998,723,451,0,0,6380,687,57,1487,1351,63,467,566,11153,37,750,10609,11960
616,Manipur,2008,02. Kidnapping & Abduction of Women & Girls,0,25,0,0,0,0,25,0,254,192,22,22,87,0,0,0,0,22,0,0,68,0,0,65,44,66,89,0,66,66
617,Meghalaya,2008,02. Kidnapping & Abduction of Women & Girls,4,5,3,0,0,0,8,0,82,65,90,91,25,3,4,0,0,94,4,0,14,3,0,49,57,110,3,4,111,114
618,Mizoram,2008,02. Kidnapping & Abduction of Women & Girls,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1
619,Nagaland,2008,02. Kidnapping & Abduction of Women & Girls,0,2,4,0,5,0,6,0,6,5,5,6,7,4,5,0,0,10,0,0,5,3,1,1,1,7,2,1,5,8
620,Odisha,2008,02. Kidnapping & Abduction of Women & Girls,282,25,504,0,67,60,529,0,677,504,1918,1763,762,504,349,0,0,2267,403,1,633,602,71,80,111,2829,0,474,2702,3304
621,Puducherry,2008,02. Kidnapping & Abduction of Women & Girls,4,0,5,0,0,0,5,0,10,6,22,21,9,5,4,0,0,26,4,0,8,7,0,9,10,36,0,4,33,40
622,Punjab,2008,02. Kidnapping & Abduction of Women & Girls,88,92,257,1,22,172,349,0,329,336,945,799,514,257,110,0,0,1056,159,2,573,470,42,590,616,1316,77,201,1049,1519
623,Rajasthan,2008,02. Kidnapping & Abduction of Women & Girls,275,194,612,13,121,995,806,0,174,112,3744,3541,1863,612,396,0,0,4153,497,25,942,938,169,10,14,8021,0,666,7774,8712
624,Sikkim,2008,02. Kidnapping & Abduction of Women & Girls,1,1,5,0,1,0,6,0,8,10,14,11,4,5,2,0,0,16,1,0,8,8,1,0,0,14,0,2,8,16
625,Tamil Nadu,2008,02. Kidnapping & Abduction of Women & Girls,349,258,521,6,138,301,779,0,637,558,888,860,1160,521,487,0,1,1381,683,0,1405,1116,263,700,887,1918,102,946,1748,2864
626,Tripura,2008,02. Kidnapping & Abduction of Women & Girls,26,23,87,4,4,0,110,0,28,28,145,92,110,87,30,0,0,179,43,5,112,93,12,18,17,222,20,55,189,282
627,Uttar Pradesh,2008,02. Kidnapping & Abduction of Women & Girls,1046,1185,2571,22,1172,624,3756,0,585,526,7207,6876,4439,2571,2218,0,0,9447,2366,29,8280,5932,2782,919,1231,15496,2036,5148,14741,20673
628,Uttarakhand,2008,02. Kidnapping & Abduction of Women & Girls,44,69,125,1,44,21,194,0,50,43,447,411,222,125,88,0,0,536,161,0,203,174,118,89,47,858,71,279,963,1137
629,West Bengal,2008,02. Kidnapping & Abduction of Women & Girls,440,200,1130,16,36,47,1330,0,2084,1554,6974,6336,1907,1130,476,0,0,7466,1021,202,1857,1466,58,1501,1740,8742,152,1079,8557,10023
630,Andaman & Nicobar Islands,2009,02. Kidnapping & Abduction of Women & Girls,2,7,2,0,0,0,9,0,13,8,30,30,14,2,2,0,0,32,6,0,5,2,0,3,6,37,0,6,41,43
631,Andhra Pradesh,2009,02. Kidnapping & Abduction of Women & Girls,744,117,968,51,50,398,1085,0,589,546,2513,2393,1526,968,794,3,0,3358,1319,53,1889,1637,93,708,813,3229,147,1412,3057,4694
632,Arunachal Pradesh,2009,02. Kidnapping & Abduction of Women & Girls,5,8,31,1,4,0,39,0,20,31,400,379,28,31,9,0,0,410,6,1,38,34,4,23,20,492,7,10,469,503
633,Assam,2009,02. Kidnapping & Abduction of Women & Girls,319,572,774,52,77,228,1346,13,3354,2849,3082,2756,2092,774,396,0,0,3530,591,118,2392,1159,118,2536,2706,3529,1063,709,3197,4356
634,Bihar,2009,02. Kidnapping & Abduction of Women & Girls,526,464,772,11,114,354,1236,0,1846,1450,3683,3562,1986,772,640,0,0,4334,1326,21,2397,1961,300,1518,1813,10535,141,1626,10221,12182
635,Chandigarh,2009,02. Kidnapping & Abduction of Women & Girls,13,1,17,0,11,15,18,0,34,31,46,53,36,17,24,0,0,70,23,0,29,23,13,22,26,63,2,36,76,99
636,Chhattisgarh,2009,02. Kidnapping & Abduction of Women & Girls,81,18,173,0,40,25,191,0,77,64,689,637,229,173,121,0,0,810,121,0,267,250,43,30,47,1296,0,164,1210,1460
637,Dadra & Nagar Haveli,2009,02. Kidnapping & Abduction of Women & Girls,1,0,10,0,2,1,10,0,8,10,28,21,9,10,3,0,0,31,1,0,12,18,3,8,2,50,0,4,36,54
638,Daman & Diu,2009,02. Kidnapping & Abduction of Women & Girls,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,4,4
639,Delhi,2009,02. Kidnapping & Abduction of Women & Girls,104,604,293,0,46,354,897,37,2247,1941,1531,1388,1655,293,150,0,61,1681,105,0,375,378,57,91,68,1549,20,162,1333,1711
640,Goa,2009,02. Kidnapping & Abduction of Women & Girls,12,8,13,0,0,3,21,0,24,26,34,33,22,13,12,0,0,46,14,0,18,22,0,28,17,51,7,14,43,65
641,Gujarat,2009,02. Kidnapping & Abduction of Women & Girls,294,211,808,8,42,64,1019,9,365,295,6609,6145,1162,808,336,0,0,6953,472,10,1494,1493,73,194,194,12199,1,545,11261,12754
642,Haryana,2009,02. Kidnapping & Abduction of Women & Girls,210,21,339,0,74,286,360,0,196,183,888,833,659,339,284,0,0,1172,384,0,530,549,104,92,73,1378,0,488,1317,1866
643,Himachal Pradesh,2009,02. Kidnapping & Abduction of Women & Girls,39,4,66,2,5,63,70,0,44,55,212,192,122,66,44,0,0,258,85,10,102,106,17,45,34,402,7,102,408,514
644,Jammu & Kashmir,2009,02. Kidnapping & Abduction of Women & Girls,370,23,427,1,11,390,450,0,482,497,3635,3590,825,427,381,0,0,4017,554,4,696,694,10,2,4,6422,0,564,6296,6990
645,Jharkhand,2009,02. Kidnapping & Abduction of Women & Girls,295,87,366,35,129,53,453,0,343,332,729,822,517,366,424,0,0,1188,330,20,397,399,129,269,253,640,14,459,720,1119
646,Karnataka,2009,02. Kidnapping & Abduction of Women & Girls,136,59,245,8,5,96,304,4,191,187,852,756,408,245,141,0,0,1001,325,22,506,490,16,174,176,1325,14,341,1198,1688
647,Kerala,2009,02. Kidnapping & Abduction of Women & Girls,81,11,131,1,8,13,142,0,106,88,701,660,173,131,89,0,0,791,128,2,202,185,14,99,116,933,0,142,892,1077
648,Lakshadweep,2009,02. Kidnapping & Abduction of Women & Girls,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1
649,Madhya Pradesh,2009,02. Kidnapping & Abduction of Women & Girls,285,68,679,13,121,19,747,0,265,190,2252,1992,841,679,406,0,0,2671,551,9,1060,1042,188,36,54,4839,0,739,4545,5587
650,Maharashtra,2009,02. Kidnapping & Abduction of Women & Girls,292,129,722,11,31,89,851,1,550,565,6290,5902,926,722,323,0,0,6624,576,24,1388,1388,61,566,488,11880,78,637,11153,12541
651,Manipur,2009,02. Kidnapping & Abduction of Women & Girls,0,33,1,0,0,0,34,0,317,254,23,22,97,1,0,0,0,23,0,0,95,1,0,44,81,66,57,0,65,66
652,Meghalaya,2009,02. Kidnapping & Abduction of Women & Girls,13,6,5,0,0,0,11,0,97,82,82,90,26,5,13,0,0,95,18,0,17,10,0,57,59,102,5,18,110,120
653,Mizoram,2009,02. Kidnapping & Abduction of Women & Girls,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1
654,Nagaland,2009,02. Kidnapping & Abduction of Women & Girls,0,2,8,0,1,0,10,0,6,6,12,5,10,8,1,0,0,13,0,0,8,4,9,1,0,2,5,9,7,11
655,Odisha,2009,02. Kidnapping & Abduction of Women & Girls,236,15,485,0,40,55,500,0,921,677,2127,1918,799,485,276,0,0,2403,357,0,814,762,52,111,163,3182,0,409,2829,3591
656,Puducherry,2009,02. Kidnapping & Abduction of Women & Girls,3,1,13,0,0,4,14,1,4,10,32,22,13,13,3,0,0,35,6,0,11,13,0,10,8,43,0,6,36,49
657,Punjab,2009,02. Kidnapping & Abduction of Women & Girls,158,87,212,0,34,184,299,0,359,329,965,945,513,212,192,0,0,1157,294,0,566,358,66,616,713,1314,111,360,1316,1674
658,Rajasthan,2009,02. Kidnapping & Abduction of Women & Girls,243,223,732,9,120,1298,955,0,231,174,4104,3744,2310,732,363,0,0,4476,501,14,1138,1132,198,14,20,8440,0,699,8021,9153
659,Sikkim,2009,02. Kidnapping & Abduction of Women & Girls,2,0,3,0,2,0,3,0,11,8,13,14,6,3,4,0,0,17,5,1,7,4,3,0,1,9,2,8,14,18
660,Tamil Nadu,2009,02. Kidnapping & Abduction of Women & Girls,246,262,527,11,56,319,789,0,662,637,1102,888,1133,527,302,0,0,1415,659,4,1312,1090,126,887,991,2219,118,785,1918,3008
661,Tripura,2009,02. Kidnapping & Abduction of Women & Girls,32,21,71,0,6,0,92,0,28,28,178,145,92,71,38,0,0,216,65,3,125,73,10,17,42,217,27,75,222,295
662,Uttar Pradesh,2009,02. Kidnapping & Abduction of Women & Girls,1244,1283,2941,8,1251,722,4224,0,717,585,7645,7207,5078,2941,2495,0,0,10148,3489,54,10487,6777,3527,1231,1469,15203,3472,7016,15496,22273
663,Uttarakhand,2009,02. Kidnapping & Abduction of Women & Girls,47,76,150,10,36,26,226,0,45,50,504,447,247,150,83,0,0,597,114,0,191,193,97,47,38,840,7,211,858,1051
664,West Bengal,2009,02. Kidnapping & Abduction of Women & Girls,369,321,1137,13,31,54,1458,1,2758,2084,7698,6974,2187,1137,400,0,0,8111,858,86,1958,1790,27,1740,1783,9561,125,885,8742,10532
665,Andaman & Nicobar Islands,2010,02. Kidnapping & Abduction of Women & Girls,0,3,7,0,0,0,10,0,11,13,37,30,8,7,0,0,0,37,0,0,11,16,0,6,1,53,0,0,37,53
666,Andhra Pradesh,2010,02. Kidnapping & Abduction of Women & Girls,749,58,1101,58,75,410,1159,0,551,589,2732,2513,1531,1101,824,0,0,3614,1265,114,1722,1816,128,813,622,3538,97,1393,3229,5045
667,Arunachal Pradesh,2010,02. Kidnapping & Abduction of Women & Girls,2,15,21,5,2,0,36,0,30,20,412,400,46,21,4,0,0,421,3,7,48,29,2,20,26,509,13,5,492,521
668,Assam,2010,02. Kidnapping & Abduction of Women & Girls,509,730,971,22,106,231,1701,63,4126,3354,3416,3082,2767,971,615,0,0,4053,671,130,2687,1218,146,2706,3078,3800,1097,817,3529,4747
669,Bihar,2010,02. Kidnapping & Abduction of Women & Girls,581,593,1150,15,108,410,1743,0,2262,1846,4129,3683,2569,1150,689,0,0,4833,1440,19,2503,2280,196,1813,1916,11160,120,1636,10535,12815
670,Chandigarh,2010,02. Kidnapping & Abduction of Women & Girls,8,2,1,0,6,30,3,0,29,34,33,46,28,1,14,0,0,47,13,0,23,8,8,26,17,50,24,21,63,71
671,Chhattisgarh,2010,02. Kidnapping & Abduction of Women & Girls,109,34,192,1,36,13,226,0,117,77,735,689,279,192,145,0,0,881,144,1,352,321,58,47,71,1414,7,202,1296,1617
672,Dadra & Nagar Haveli,2010,02. Kidnapping & Abduction of Women & Girls,2,0,3,0,1,2,3,0,13,8,28,28,10,3,3,0,0,31,2,0,7,3,1,2,6,50,0,3,50,53
673,Daman & Diu,2010,02. Kidnapping & Abduction of Women & Girls,0,1,0,0,0,0,1,0,3,2,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,4,4
674,Delhi,2010,02. Kidnapping & Abduction of Women & Girls,141,656,289,0,85,537,945,26,2407,2247,1594,1531,1740,289,226,0,72,1820,155,0,366,352,85,68,71,1661,11,240,1549,1901
675,Goa,2010,02. Kidnapping & Abduction of Women & Girls,8,7,10,0,1,3,17,0,22,24,35,34,18,10,9,0,0,44,13,0,15,18,2,17,12,54,2,15,51,69
676,Gujarat,2010,02. Kidnapping & Abduction of Women & Girls,350,229,1027,17,51,50,1256,10,338,365,7218,6609,1290,1027,401,0,1,7636,712,21,1651,1580,100,194,263,12946,2,812,12199,13779
677,Haryana,2010,02. Kidnapping & Abduction of Women & Girls,259,21,431,0,91,260,452,0,198,196,969,888,714,431,350,0,0,1319,356,0,543,524,130,73,92,1416,0,486,1378,1902
678,Himachal Pradesh,2010,02. Kidnapping & Abduction of Women & Girls,28,3,55,3,5,83,58,0,65,44,231,212,162,55,33,0,0,267,74,3,101,95,5,34,40,415,0,79,402,497
679,Jammu & Kashmir,2010,02. Kidnapping & Abduction of Women & Girls,250,31,346,5,5,423,377,0,522,482,3721,3635,840,346,255,0,0,3981,436,13,509,503,10,4,10,6466,0,446,6422,6925
680,Jharkhand,2010,02. Kidnapping & Abduction of Women & Girls,309,108,420,0,67,63,528,0,448,343,773,729,696,420,376,0,0,1149,380,3,710,674,103,253,282,828,7,483,640,1314
681,Karnataka,2010,02. Kidnapping & Abduction of Women & Girls,186,105,328,3,14,137,433,8,197,191,977,852,586,328,200,0,2,1180,344,85,751,614,47,176,266,1463,47,391,1325,1939
682,Kerala,2010,02. Kidnapping & Abduction of Women & Girls,72,12,174,0,4,17,186,0,87,106,799,701,184,174,76,0,0,875,95,0,221,257,5,116,80,1090,0,100,933,1190
683,Lakshadweep,2010,02. Kidnapping & Abduction of Women & Girls,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
684,Madhya Pradesh,2010,02. Kidnapping & Abduction of Women & Girls,433,86,856,11,208,20,942,0,333,265,2456,2252,1030,856,641,0,0,3108,833,14,1303,1309,390,54,48,4911,0,1223,4839,6148
685,Maharashtra,2010,02. Kidnapping & Abduction of Women & Girls,366,138,706,9,21,99,844,9,722,550,6600,6290,1124,706,387,0,0,6996,655,14,1470,1250,43,488,663,12418,45,698,11880,13130
686,Manipur,2010,02. Kidnapping & Abduction of Women & Girls,2,38,2,0,0,0,40,0,384,317,23,23,107,2,2,0,0,25,2,0,83,2,0,81,103,66,59,2,66,68
687,Meghalaya,2010,02. Kidnapping & Abduction of Women & Girls,6,1,9,0,0,0,10,0,124,97,85,82,37,9,6,0,0,91,6,0,41,17,0,59,75,113,8,6,102,119
688,Mizoram,2010,02. Kidnapping & Abduction of Women & Girls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689,Nagaland,2010,02. Kidnapping & Abduction of Women & Girls,10,1,8,0,4,0,9,0,3,6,6,12,6,8,14,0,0,20,2,0,13,6,1,0,4,5,3,3,2,8
690,Odisha,2010,02. Kidnapping & Abduction of Women & Girls,371,23,811,0,31,120,834,0,879,921,2536,2127,912,811,402,0,0,2938,666,0,1070,1095,41,163,138,3570,0,707,3182,4277
691,Puducherry,2010,02. Kidnapping & Abduction of Women & Girls,3,0,13,0,2,2,13,0,3,4,40,32,14,13,5,0,0,45,5,0,22,26,2,8,4,62,0,7,43,69
692,Punjab,2010,02. Kidnapping & Abduction of Women & Girls,123,120,226,0,47,207,346,0,339,316,911,855,576,226,170,0,0,1081,234,0,646,542,100,609,579,1427,134,334,1219,1761
693,Rajasthan,2010,02. Kidnapping & Abduction of Women & Girls,244,196,815,31,128,1374,1011,0,323,231,4516,4104,2477,815,372,0,0,4919,468,33,1281,1275,251,20,26,8963,0,719,8440,9715
694,Sikkim,2010,02. Kidnapping & Abduction of Women & Girls,1,1,10,1,1,0,11,0,6,11,20,13,6,10,2,0,0,23,1,1,13,10,1,1,2,16,2,2,9,19
695,Tamil Nadu,2010,02. Kidnapping & Abduction of Women & Girls,325,246,619,9,104,316,865,0,945,662,1283,1102,1464,619,429,0,0,1721,683,1,1532,1280,160,991,1165,2655,78,843,2219,3499
696,Tripura,2010,02. Kidnapping & Abduction of Women & Girls,33,14,57,0,3,3,71,0,45,28,199,178,91,57,36,0,0,235,151,0,106,89,3,42,50,152,9,154,217,306
697,Uttar Pradesh,2010,02. Kidnapping & Abduction of Women & Girls,1458,1525,3050,14,1594,565,4575,0,1045,717,7629,7645,5468,3050,3052,0,0,10695,3369,25,11903,6831,3951,1469,2256,14689,4285,7320,15203,22034
698,Uttarakhand,2010,02. Kidnapping & Abduction of Women & Girls,57,91,147,0,36,14,238,0,42,45,558,504,249,147,93,0,0,651,94,0,293,272,55,38,30,963,29,149,840,1112
699,West Bengal,2010,02. Kidnapping & Abduction of Women & Girls,353,435,2069,21,37,66,2504,0,2952,2758,9356,7698,2764,2069,390,0,0,9767,848,48,2254,2545,50,1783,1286,11160,206,898,9561,12106
700,Andaman & Nicobar Islands,2001,03. Dowry Deaths,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1
701,Andhra Pradesh,2001,03. Dowry Deaths,324,10,366,12,87,15,376,0,227,198,1074,1131,420,366,411,0,0,1497,734,2,1054,974,145,414,479,2330,15,879,2237,3211
702,Arunachal Pradesh,2001,03. Dowry Deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703,Assam,2001,03. Dowry Deaths,13,0,28,0,8,1,28,0,84,54,94,87,59,28,21,0,0,115,37,0,95,57,18,60,94,197,4,55,195,252
704,Bihar,2001,03. Dowry Deaths,253,107,670,18,146,82,777,0,494,494,2309,2056,859,670,399,0,0,2726,903,64,2899,2362,319,1129,1340,6043,326,1222,4967,7329
705,Chandigarh,2001,03. Dowry Deaths,0,0,2,0,2,0,2,0,1,0,7,7,3,2,2,0,0,9,9,0,7,7,4,0,0,19,0,13,25,32
706,Chhattisgarh,2001,03. Dowry Deaths,31,0,66,0,15,0,66,0,13,9,213,193,70,66,46,0,0,259,82,10,163,177,41,16,2,706,0,123,662,839
707,Dadra & Nagar Haveli,2001,03. Dowry Deaths,0,0,0,0,1,0,0,0,0,0,2,3,0,0,1,0,0,3,0,0,0,0,1,0,0,8,0,1,9,9
708,Daman & Diu,2001,03. Dowry Deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
709,Delhi,2001,03. Dowry Deaths,32,11,131,0,58,0,142,0,49,78,505,464,113,131,90,0,0,595,51,0,256,304,70,134,75,1638,11,121,1455,1759
710,Goa,2001,03. Dowry Deaths,2,0,2,0,1,1,2,0,0,1,8,9,2,2,3,0,0,11,4,0,4,4,1,0,0,21,0,5,22,26
711,Gujarat,2001,03. Dowry Deaths,21,0,67,4,1,1,67,0,6,7,481,440,67,67,22,0,0,507,58,4,238,255,1,30,13,1662,0,59,1470,1725
712,Haryana,2001,03. Dowry Deaths,250,2,265,9,52,25,267,0,22,29,661,707,285,265,302,0,0,972,716,8,734,748,133,39,25,1638,0,849,1747,2495
713,Himachal Pradesh,2001,03. Dowry Deaths,4,0,6,0,0,3,6,0,4,3,26,24,10,6,4,0,0,30,8,0,15,12,0,5,8,78,0,8,74,86
714,Jammu & Kashmir,2001,03. Dowry Deaths,7,1,16,1,0,0,17,0,1,5,15,7,13,16,7,0,0,23,48,3,40,34,0,3,3,34,6,48,51,85
715,Jharkhand,2001,03. Dowry Deaths,126,16,237,0,50,7,253,0,83,126,410,349,217,237,176,0,0,586,438,0,557,424,235,226,302,1093,57,673,1342,1766
716,Karnataka,2001,03. Dowry Deaths,109,9,216,4,13,9,225,7,66,87,636,559,220,216,122,13,0,762,358,6,422,461,23,237,159,1568,39,381,1494,1955
717,Kerala,2001,03. Dowry Deaths,8,1,27,0,6,0,28,0,20,21,119,106,27,27,14,0,0,133,15,0,55,47,9,21,29,253,0,24,230,277
718,Lakshadweep,2001,03. Dowry Deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
719,Madhya Pradesh,2001,03. Dowry Deaths,452,9,592,2,165,4,601,0,124,122,1638,1665,609,592,617,0,2,2257,1109,5,1503,1472,402,49,80,4123,0,1511,4167,5639
720,Maharashtra,2001,03. Dowry Deaths,326,3,327,13,34,0,330,0,93,115,3060,3106,308,327,360,0,0,3433,1021,62,1009,1065,97,293,237,7303,0,1118,7418,8483
721,Manipur,2001,03. Dowry Deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
722,Meghalaya,2001,03. Dowry Deaths,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,5,5
